1185869	0	0	1
403613	0	60	1
80385	0	723	1
645337	0	1054	1
186154	0	1160	1
457407	0	1172	1
1164799	0	1713	1
484187	0	1822	1
455279	0	2599	1
208108	0	2704	1
1164798	0	2924	1
443797	0	3146	1
14562	0	3382	1
545059	0	3702	1
708236	0	3815	1
310130	0	3923	1
693161	0	4029	1
1173772	0	4462	1
541973	0	4583	1
637443	0	5250	1
1164796	0	5359	1
295446	0	6021	1
596451	0	6685	1
651441	0	6793	1
308543	0	7115	1
202126	0	7223	1
1164794	0	7777	1
705580	0	8103	1
658203	0	8217	1
411732	0	8764	1
1164793	0	8991	1
608711	0	9755	1
147535	0	10087	1
569308	0	10747	1
753706	0	10854	1
627871	0	10964	1
113839	0	11321	1
460953	0	11640	1
650643	0	12528	1
1183784	0	12640	1
1164790	0	12753	1
490046	0	13184	1
534505	0	13630	1
493122	0	14398	1
605764	0	14520	1
725274	0	14734	1
401461	0	14951	1
499565	0	15060	1
31086	0	15732	1
305154	0	16279	1
1164787	0	16389	1
755409	0	17051	1
553140	0	17163	1
652801	0	17704	1
448861	0	18371	1
609117	0	18479	1
508975	0	18586	1
686474	0	18697	1
430171	0	19689	1
422799	0	19799	1
564701	0	19908	1
677722	0	19921	1
396846	0	20457	1
667478	0	20783	1
165324	0	20894	1
457773	0	21125	1
650692	0	21340	1
492528	0	21670	1
642101	0	22002	1
451572	0	23454	1
170935	0	23563	1
398567	0	24342	1
398567	0	24344	1
499488	0	24559	1
520990	0	25561	1
306728	0	26437	1
696473	0	26663	1
480096	0	27102	1
538223	0	27660	1
427099	0	27986	1
292137	0	28417	1
576138	0	29408	1
574110	0	30181	1
486399	0	31179	1
559956	0	31513	1
290590	0	32830	1
280775	0	34275	1
437723	0	34383	1
545859	0	34820	1
545859	0	34826	1
591348	0	35371	1
24388	0	35486	1
1183782	0	37135	1
453298	0	37685	1
460001	0	38014	1
242169	0	38690	1
1164764	0	39671	1
624575	0	39784	1
138829	0	40223	1
691516	0	40439	1
423287	0	40769	1
1164761	0	40886	1
608955	0	41322	1
287532	0	41540	1
690255	0	42315	1
193384	0	42854	1
395608	0	43070	1
15252	0	43623	1
565659	0	43734	1
705802	0	43957	1
1174666	0	44174	1
541895	0	44851	1
5202	0	46059	1
639751	0	46609	1
413103	0	47475	1
593717	0	47597	1
685380	0	47816	1
634747	0	48349	1
426221	0	48576	1
600133	0	49224	1
219912	0	49668	1
724592	0	49882	1
748701	0	50428	1
1164749	0	50643	1
330982	0	51842	1
452366	0	52069	1
695106	0	53916	1
55048	0	54363	1
385458	0	15065	1
754130	0	55360	1
753352	0	55794	1
445911	0	56127	1
121365	0	56349	1
412886	0	56453	1
412886	0	56458	1
523140	0	56781	1
13315	0	57093	1
603130	0	57309	1
1164743	0	57859	1
618583	0	57972	1
399731	0	58076	1
623325	0	58297	1
403058	0	59505	1
572255	0	59616	1
49432	0	59939	1
79048	0	60376	1
213201	0	60808	1
1164739	0	62799	1
431784	0	63230	1
440856	0	63567	1
557644	0	64225	1
185266	0	64545	1
709018	0	64998	1
515427	0	65109	1
574996	0	65433	1
221711	0	65750	1
612024	0	66215	1
1164736	0	66432	1
738470	0	67194	1
553949	0	67318	1
428555	0	67748	1
523281	0	68080	1
581306	0	68182	1
576539	0	68304	1
447937	0	68414	1
710991	0	68633	1
480298	0	68738	1
596897	0	68965	1
1164733	0	70066	1
484785	0	70172	1
699911	0	70488	1
624097	0	70834	1
587473	0	72350	1
483949	0	73020	1
532152	0	73237	1
577404	0	74226	1
228668	0	74327	1
686791	0	74439	1
280515	0	75098	1
408938	0	75757	1
124961	0	76534	1
374612	0	76641	1
618540	0	76857	1
